"","url"
"245","http://www.workjoy.com.pl/pmap_gos/bgz/"
"246","http://www.renkar.com.pl/"
"247","http://www.acc.pl/"
"248","http://www.activa.pl/"
"249","http://www.adr.com.pl/"
"250","http://www.alsi.com.pl/"
"251","http://www.alter.bialystok.pl/"
"252","http://www.amazon-polska.krakow.pl/"
"253","http://www.aquarius.pl/"
"254","http://www.arma75.krakow.pl/"
"255","http://www.atest.pl/"
"256","http://www.mec.com.pl/"
"257","http://www.psbd.gdansk.pl/"
"258","http://www.abab.com.pl/"
"259","http://www.abet-spzoo.com.pl/"
"260","http://www.mosty2.com.pl/"
"261","http://www.abisprojekt.com.pl/"
"262","http://www.archbw.com.pl/"
"264","http://www.accord.pl/"
"265","http://www.aco.pl/"
"266","http://emerytura.socrates.pl/ranking.htm"
"267","http://www.pimw.com.pl/"
"268","http://www.dvd.com.pl/"
"269","http://www.bowling.pl/"
"270","http://www.catv.com.pl/oigkk/main.htm"
"271","http://uszatek.el.com.pl/olimp/hm/"
"272","http://www.pfs.org.pl/"
"273","http://www.mroz.pl/index2.htm"
"274","http://home.isp.net.pl/auto-komis/"
"275","http://www.sattech.com.pl/katalog/"
"276","http://republika.pl/kamova/"
"277","http://www.autonet.com.pl/"
"278","http://www.autosport.com.pl/"
"279","http://www.auto-bit.com.pl/"
"280","http://www.auto-gielda.com.pl/"
"281","http://www.autogielda.pl/"
"282","http://www.autohandel.com.pl/"
"283","http://www.accent.com.pl/"
"285","http://www.adresownik.prv.pl/"
"286","http://www.rafa.com.pl/"
"287","http://www.bib.com.pl/"
"288","http://www.aiut.com.pl/"
"289","http://www.alfa.com.pl/"
"290","http://www.amg.com.pl/"
"291","http://195.117.24.35/anarvista/index.htm"
"292","http://195.117.24.35/anarvista/"
"295","http://www.agsmedia.pl/"
"296","http://www.trzepak.pik-net.pl/"
"297","http://www.lepper-forum.prv.pl/"
"298","http://www.animals.pl"
"299","http://www.olsztyn.tpsa.pl/aik/"
"300","http://commandos.strefa.com/"
"301","http://www.caritaspolska.org.pl/"
"303","http://benchmark.ceti.com.pl/"
"304","http://www.ok.com.pl/"
"305","http://www.promail.pl/~mofo/"
"306","http://www.abj.com.pl/"
"307","http://www.cyf-kr.edu.pl/"
"308","http://thorn.stone.pl/"
"309","http://www.astrix.pl/"
